New Particle?	Particle Number	Upper X	Upper Y	Upper Z	Center X	Center Y	Center Z	Lower X	Lower Y	Lower Z	Chromosome Number	Damage Type	N Direct	N In-direct	BD	SSB	DSB
N	1	1.957954	2.561866	-1.628944	1.958037	2.561939	-1.628697	1.957872	2.561793	-1.629190	10	Direct	1	0	1	0	0
N	1	1.956642	2.556183	-1.636711	1.956642	2.556183	-1.636711	1.956642	2.556183	-1.636711	10	In-direct	0	1	1	0	0
N	1	2.534318	2.396952	-0.744230	2.534523	2.397012	-0.743907	2.534112	2.396892	-0.744552	11	Direct	2	0	0	2	1
N	1	2.576550	2.384242	-0.678109	2.576702	2.384858	-0.677769	2.576398	2.383625	-0.678449	11	Hybrid	1	1	0	2	1
N	1	2.608599	2.372061	-0.626437	2.608979	2.372114	-0.625840	2.608219	2.372007	-0.627034	11	Hybrid	1	1	0	2	0
N	1	2.534022	2.395464	-0.754002	2.534022	2.395464	-0.754002	2.534022	2.395464	-0.754002	11	In-direct	0	1	0	1	0
N	1	2.533387	2.397601	-0.745207	2.534112	2.398190	-0.744552	2.532662	2.397012	-0.745862	11	Direct	2	0	0	2	1
N	1	2.533769	2.399475	-0.748174	2.533769	2.399475	-0.748174	2.533769	2.399475	-0.748174	11	In-direct	0	1	0	1	0
N	1	2.567890	2.387599	-0.690964	2.567890	2.387599	-0.690964	2.567890	2.387599	-0.690964	11	In-direct	0	1	0	1	0
N	1	2.569701	2.387174	-0.689852	2.569701	2.387174	-0.689852	2.569701	2.387174	-0.689852	11	In-direct	0	1	0	1	0
N	1	2.574727	2.385275	-0.680911	2.574727	2.385275	-0.680911	2.574727	2.385275	-0.680911	11	Direct	1	0	0	1	0
N	1	2.608552	2.354640	-0.629676	2.608552	2.354640	-0.629676	2.608552	2.354640	-0.629676	11	In-direct	0	1	0	1	0
N	1	2.603217	2.356194	-0.628213	2.603217	2.356194	-0.628213	2.603217	2.356194	-0.628213	11	Direct	1	0	0	1	0
N	1	2.608723	2.363409	-0.628379	2.608723	2.363409	-0.628379	2.608723	2.363409	-0.628379	11	In-direct	0	1	0	1	0
N	1	2.615799	2.380423	-0.633997	2.615799	2.380423	-0.633997	2.615799	2.380423	-0.633997	11	In-direct	0	1	0	1	0
N	1	2.607470	2.375701	-0.629644	2.607470	2.375701	-0.629644	2.607470	2.375701	-0.629644	11	In-direct	0	1	0	1	0
N	1	2.597668	2.378995	-0.642837	2.597668	2.378995	-0.642837	2.597668	2.378995	-0.642837	11	Direct	1	0	0	1	0
N	1	2.596131	2.379125	-0.648017	2.596131	2.379125	-0.648017	2.596131	2.379125	-0.648017	11	Direct	1	0	0	1	0
N	1	2.597868	2.378280	-0.647854	2.597868	2.378280	-0.647854	2.597868	2.378280	-0.647854	11	In-direct	0	1	0	1	0
N	1	2.531172	2.397867	-0.749165	2.531172	2.397867	-0.749165	2.531172	2.397867	-0.749165	11	Direct	1	0	1	0	0
N	1	2.657867	2.360493	-0.550653	2.657867	2.360493	-0.550653	2.657867	2.360493	-0.550653	12	Direct	1	0	0	1	0
N	1	2.659732	2.359717	-0.552767	2.659732	2.359717	-0.552767	2.659732	2.359717	-0.552767	12	In-direct	0	1	0	1	0
N	1	2.651321	2.366498	-0.568184	2.651321	2.366498	-0.568184	2.651321	2.366498	-0.568184	12	In-direct	0	1	0	1	0
N	1	3.265237	2.154518	0.428512	3.266010	2.154918	0.429266	3.264464	2.154118	0.427757	19	In-direct	0	3	0	3	1
N	1	3.197624	2.180071	0.318448	3.198507	2.180425	0.319022	3.196741	2.179716	0.317874	19	Hybrid	2	1	0	3	1
N	1	3.271722	2.154646	0.437941	3.272696	2.155461	0.438577	3.270748	2.153831	0.437304	19	Hybrid	1	1	0	2	1
N	1	3.198346	2.179290	0.320506	3.198841	2.179612	0.321475	3.197851	2.178967	0.319537	19	Direct	3	0	0	3	0
N	1	3.203386	2.177189	0.329641	3.203742	2.177366	0.329825	3.203030	2.177012	0.329457	19	In-direct	0	2	0	2	0
N	1	3.203434	2.178971	0.323052	3.203477	2.179641	0.323261	3.203392	2.178301	0.322844	19	Hybrid	1	1	1	1	0
N	1	3.279608	2.123374	0.405007	3.279608	2.123374	0.405007	3.279608	2.123374	0.405007	19	In-direct	0	1	0	1	0
N	1	3.275465	2.124400	0.403855	3.275465	2.124400	0.403855	3.275465	2.124400	0.403855	19	Direct	1	0	0	1	0
N	1	3.277108	2.121331	0.403881	3.277108	2.121331	0.403881	3.277108	2.121331	0.403881	19	In-direct	0	1	0	1	0
N	1	3.285001	2.149824	0.456723	3.285001	2.149824	0.456723	3.285001	2.149824	0.456723	19	Direct	1	0	0	1	0
N	1	3.275245	2.157175	0.436505	3.275245	2.157175	0.436505	3.275245	2.157175	0.436505	19	In-direct	0	1	0	1	0
N	1	3.215004	2.175095	0.341223	3.215004	2.175095	0.341223	3.215004	2.175095	0.341223	19	In-direct	0	1	0	1	0
N	1	3.205470	2.176268	0.313657	3.205470	2.176268	0.313657	3.205470	2.176268	0.313657	19	In-direct	0	1	0	1	0
N	1	3.203164	2.178071	0.313190	3.203164	2.178071	0.313190	3.203164	2.178071	0.313190	19	In-direct	0	1	0	1	0
N	1	3.195035	2.179588	0.317679	3.195035	2.179588	0.317679	3.195035	2.179588	0.317679	19	In-direct	0	1	0	1	0
N	1	3.192867	2.180423	0.311711	3.192867	2.180423	0.311711	3.192867	2.180423	0.311711	19	Direct	1	0	0	1	0
N	1	3.457229	2.086294	0.729794	3.457229	2.086294	0.729794	3.457229	2.086294	0.729794	19	In-direct	0	1	0	1	0
N	1	3.457100	2.082787	0.732196	3.457100	2.082787	0.732196	3.457100	2.082787	0.732196	19	In-direct	0	1	0	1	0
N	1	3.458508	2.086253	0.731740	3.458508	2.086253	0.731740	3.458508	2.086253	0.731740	19	In-direct	0	1	0	1	0
N	1	3.462955	2.088983	0.738148	3.462955	2.088983	0.738148	3.462955	2.088983	0.738148	19	In-direct	0	1	0	1	0
N	1	3.465779	2.083035	0.745060	3.465779	2.083035	0.745060	3.465779	2.083035	0.745060	19	Direct	1	0	0	1	0
